bohrs, E_s, E_t, SOC_Real, SOC_Imag
3.2000000000000020, 0.51264103801328426E-1, 0.22466448205861070, 0.50000000000000001E-3, 0.10000000000000000E-2
3.3000000000000020, 0.50876679639850167E-1, 0.21911749623247451, 0.50000000000000001E-3, 0.10000000000000000E-2
3.4000000000000021, 0.50502580771137721E-1, 0.21370746597436321, 0.50000000000000001E-3, 0.10000000000000000E-2
3.5000000000000022, 0.50141348877293150E-1, 0.20843100983925408, 0.50000000000000001E-3, 0.10000000000000000E-2
3.6000000000000023, 0.49792541404071855E-1, 0.20328482987029944, 0.50000000000000001E-3, 0.10000000000000000E-2
3.7000000000000024, 0.49455731018698261E-1, 0.19826570953749631, 0.50000000000000001E-3, 0.10000000000000000E-2
3.8000000000000025, 0.49130505086329719E-1, 0.19337051172725048, 0.50000000000000001E-3, 0.10000000000000000E-2
3.9000000000000026, 0.48816465164527229E-1, 0.18859617678157833, 0.50000000000000001E-3, 0.10000000000000000E-2
4.0000000000000027, 0.48513226515113653E-1, 0.18393972058572103, 0.50000000000000001E-3, 0.10000000000000000E-2
4.1000000000000023, 0.48220417632821269E-1, 0.17939823270297570, 0.50000000000000001E-3, 0.10000000000000000E-2
4.2000000000000020, 0.47937679790151427E-1, 0.17496887455557758, 0.50000000000000001E-3, 0.10000000000000000E-2
4.3000000000000016, 0.47664666597888442E-1, 0.17064887765049677, 0.50000000000000001E-3, 0.10000000000000000E-2
4.4000000000000012, 0.47401043580729538E-1, 0.16643554184903972, 0.50000000000000001E-3, 0.10000000000000000E-2
4.5000000000000009, 0.47146487767510736E-1, 0.16232623367917484, 0.50000000000000001E-3, 0.10000000000000000E-2
4.6000000000000005, 0.46900687295526808E-1, 0.15831838468952658, 0.50000000000000001E-3, 0.10000000000000000E-2
4.7000000000000002, 0.46663341028460467E-1, 0.15440948984400993, 0.50000000000000001E-3, 0.10000000000000000E-2
